Campaign name,Day,Delivery status,Delivery level,Attribution setting,Result type,Results,Reach,Frequency,Cost per result,Amount spent (INR),Impressions,"CPM (cost per 1,000 impressions)",Link clicks,CPC (cost per link click),CTR (link click-through rate),Clicks (all),CTR (all),CPC (all),In-app purchases,Registrations completed,In-app registrations completed,Website registrations completed,Cost per registration completed,Purchases,Purchases conversion value,In-app purchases conversion value,Cost per purchase,Purchase ROAS (return on ad spend),In-app purchase ROAS (return on ad spend),percentage app,App installs,Mobile app installs,Cost per app install,Reporting starts,Reporting ends
All-Lookalike-manual-registration 27-07-24,3/17/2026,active,campaign,7-day click,,,202942,1.51029358,,16731.93,306502,54.58995374,1113,15.03318059,0.36312977,1468,0.47895283,11.39777248,11,424,424,,39.46209906,11,3077,3077,1521.084545,0.18389988,0.18389988,37.6460018,419,419,39.93300716,3/17/2026,3/17/2026
Advantage+ KSA app campaign 01/08/2024 Campaign,3/17/2026,active,campaign,7-day click,In-app purchases,1,13479,1.46420358,2492.05,2492.05,19736,126.2692542,150,16.61366667,0.76003243,167,0.84616944,14.92245509,1,78,78,,31.94935897,1,218,218,2492.05,0.08747818,0.08747818,46.66666667,70,70,35.60071429,3/17/2026,3/17/2026
Advantage+ shopping campaign 02/03/2025 Campaign,3/17/2026,active,campaign,Multiple attribution settings,,,24330,2.27640773,,2037.27,55385,36.78378622,281,7.25007117,0.50735759,1273,2.29845626,1.60036921,37,64,60,4,31.83234375,37,31678,31678,55.06135135,15.54923991,15.54923991,4.98220641,14,14,145.5192857,3/17/2026,3/17/2026
New qatar App promotion Campaign 23 sept 25,3/17/2026,active,campaign,7-day click,In-app purchases,1,11212,1.51890831,2214.55,2214.55,17030,130.0381679,95,23.31105263,0.55783911,117,0.6870229,18.92777778,1,55,55,,40.26454545,1,2586.73,2586.73,2214.55,1.16806123,1.16806123,49.47368421,47,47,47.11808511,3/17/2026,3/17/2026
New App IOS KSA promotion campaign,3/17/2026,active,campaign,Multiple attribution settings,,,11278,1.26875333,,2698.45,14309,188.5841079,116,23.2625,0.81067859,154,1.07624572,17.5224026,,22,22,,122.6568182,,,,,,,28.44827586,33,33,81.77121212,3/17/2026,3/17/2026
UAE App promotion Campaign 26 June 25,3/17/2026,active,campaign,7-day click,In-app purchases,2,5227,1.4805816,829.31,1658.62,7739,214.3196796,66,25.13060606,0.85282336,74,0.95619589,22.41378378,2,57,57,,29.09859649,2,6117.05,6117.05,829.31,3.68803584,3.68803584,59.09090909,39,39,42.52871795,3/17/2026,3/17/2026
India IOS app promotion purchase campaign  09/08/25 copy of 9/10/24,3/17/2026,active,campaign,Multiple attribution settings,In-app purchases,2,123118,1.38826979,5562.805,11125.61,170921,65.09211858,552,20.15509058,0.32295622,1091,0.63830659,10.19762603,2,153,152,1,72.71640523,2,6039.25,6039.25,5562.805,0.54282417,0.54282417,35.14492754,194,194,57.34850515,3/17/2026,3/17/2026
Advantage+ app Purchase campaign 21/12/2024 Campaign – april duplicate,3/17/2026,active,campaign,7-day click,In-app purchases,38,547459,1.51671997,1045.589737,39732.41,830342,47.85065672,2649,14.99902227,0.31902517,3377,0.40669989,11.76559372,38,1112,1111,1,35.73058453,38,16225,16225,1045.589737,0.4083568,0.4083568,36.46659117,966,966,41.13085921,3/17/2026,3/17/2026
New Awareness campaign 24/10/25 –duplicate (07/11/25),3/17/2026,active,campaign,7-day click or 1-day view,,,528454,1,,957.14,528454,1.81120779,96,9.97020833,0.0181662,299,0.05658014,3.20113712,,1,1,,957.14,,,,,,,1.04166667,1,1,957.14,3/17/2026,3/17/2026
New App promotion oman and bahrain Campaign 22 jan 2026,3/17/2026,active,campaign,7-day click,,,14203,1.67858903,,2954.33,23841,123.9180404,122,24.21581967,0.5117235,139,0.58302924,21.25417266,,60,60,,49.23883333,,,,,,,45.90163934,56,56,52.75589286,3/17/2026,3/17/2026
